lat,lng,name,rating,types,Workspace
39.9836943,-86.0030133,Taco Bell,3.9,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",Launch Fishers
39.9575706,-86.0106634,McDonald's,3.6,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",Launch Fishers
39.957237,-86.01671,Another Broken Egg Cafe,4.6,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",Launch Fishers
39.9594107,-85.995632,Bento Café - Fishers,4.5,"['restaurant', 'cafe', 'food', 'point_of_interest', 'establishment']",Launch Fishers
39.975525,-86.00299,Texas Roadhouse,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",Launch Fishers
39.9550335,-85.9977043,Sunrise Cafe - Fishers,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",Launch Fishers
39.9560734,-86.0103298,Puccini's Pizza & Pasta-Fishers,4.4,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",Launch Fishers
39.9564802,-86.0047347,Portillo's Hot Dogs,4.3,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",Launch Fishers
39.979375,-86.00169,City Barbeque and Catering,4.5,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",Launch Fishers
39.9550026,-86.0005153,Fishers Test Kitchen,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",Launch Fishers
39.9586037,-86.0124048,Five Guys,4.5,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",Launch Fishers
39.9566333,-86.017328,Thai Sushi House,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",Launch Fishers
39.7648475,-86.1598029,St. Elmo Steak House,4.7,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",Industrious Mass Ave
39.7721472,-86.1537536,The Oakmont,4.8,"['restaurant', 'food', 'point_of_interest', 'establishment']",Industrious Mass Ave
39.7659644,-86.1645815,Conner’s Kitchen + Bar,4.5,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",Industrious Mass Ave
39.7719812,-86.1535945,Bakersfield,4.5,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",Industrious Mass Ave
39.7645564,-86.1596447,Harry & Izzy's,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",Industrious Mass Ave
39.7758333,-86.1475,Ralston's,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",Industrious Mass Ave
39.7662494,-86.1568261,Pearl Street Pizzeria & Pub,4.5,"['meal_delivery', 'meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",Industrious Mass Ave
39.7718129,-86.1539722,The Eagle,4.5,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",Industrious Mass Ave
39.7526154,-86.1406281,Pure Eatery,4.4,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",Industrious Mass Ave
39.767987,-86.154676,Subito,4.9,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",Industrious Mass Ave
39.7709009,-86.1470547,Vida,4.8,"['restaurant', 'food', 'point_of_interest', 'establishment']",Industrious Mass Ave
39.7671818,-86.1551276,Hinata Japanese Fine Dining,4.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",Industrious Mass Ave
39.7766517,-86.1454802,Livery,4.7,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",Industrious Mass Ave
39.779036,-86.1559482,Comida,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",Industrious Mass Ave
39.7674064,-86.159195,The Capital Grille,4.6,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",Industrious Mass Ave
39.7669396,-86.1619453,Café Patachou,4.5,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",Industrious Mass Ave
39.7575325,-86.1457864,Bluebeard,4.7,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",Industrious Mass Ave
39.7653282,-86.1591399,Yard House,4.4,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",Industrious Mass Ave
39.7786645,-86.155585,Axum Ethiopian Restaurant,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",Industrious Mass Ave
39.7737737,-86.1503028,The Rathskeller,4.5,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",Industrious Mass Ave
39.7721472,-86.1537536,The Oakmont,4.8,"['restaurant', 'food', 'point_of_interest', 'establishment']",Launch Indy
